drug_name,num_prescriber,total_cost
HARVONI,5202,5992222543.54
CRESTOR,138196,2704097429.98
LANTUS SOLOSTAR,101224,2237688500.09
ADVAIR DISKUS,120041,2038325949.89
SPIRIVA,108355,1966117068.17
JANUVIA,94502,1910493980.96
REVLIMID,5450,1887150891.38
NEXIUM,107853,1761213922.35
LANTUS,87110,1623149913.81
LYRICA,103303,1526906113.37
XARELTO,76815,1297283899.88
ABILIFY,33479,1291257874.06
COPAXONE,5369,1236227467.42
ENBREL,6948,1226634370.72
RENVELA,14906,1167304749.62
ZETIA,79384,1054879524.64
LEVEMIR FLEXTOUCH,56844,1042621307.93
SYMBICORT,82340,1022760028.46
HUMIRA PEN,8127,1013755194.35
GLEEVEC,4494,985510789.31
SENSIPAR,14142,866719403.61
NAMENDA XR,48232,860224729.15
NOVOLOG FLEXPEN,44973,849451339.66
OXYCONTIN,39699,824417773.22
TECFIDERA,3157,792549607.38
ELIQUIS,45475,782329758.33
LEVOTHYROXINE SODIUM,226733,765369145.53
SOVALDI,1246,715153858.08
HYDROCODONE-ACETAMINOPHEN,274301,709185336.82
ATORVASTATIN CALCIUM,245733,700425906.09
DULOXETINE HCL,141435,685409843.32
RESTASIS,26757,676692298.67
ARIPIPRAZOLE,28067,637809212.63
TRUVADA,6569,637347281.15
ZYTIGA,3167,637250237.52
XTANDI,2765,604956474.4
INVEGA SUSTENNA,8237,603820675.4
METOPROLOL SUCCINATE,190469,589621918.51
NAMENDA,49429,534300228.96
ATRIPLA,5222,529041455.45
PROAIR HFA,167183,512296615.05
LATUDA,14339,500857728.75
VESICARE,49277,494441108.66
HUMALOG KWIKPEN U-100,28674,490314208.42
OXYCODONE-ACETAMINOPHEN,159504,488790835.49
SEROQUEL XR,20947,487194058.08
GABAPENTIN,248490,475595818.76
NOVOLOG,33593,452409429.73
IMBRUVICA,2194,445406028.71
PRADAXA,34569,440515740.75
OMEPRAZOLE,248381,437690247.38
LETAIRIS,1539,427119831.58
VICTOZA 3-PAK,17317,425265433.66
TAMSULOSIN HCL,156476,410951158.18
PRAVASTATIN SODIUM,169094,408510324.96
LUMIGAN,24981,402586964.55
EXELON,23341,398867748.47
POTASSIUM CHLORIDE,166432,396467810.22
TRADJENTA,29911,394874198.7
CELECOXIB,75508,387750414.74
PREZISTA,5120,383917838.31
LEVEMIR,28656,383520033.42
DEXILANT,40963,370646521.63
ISENTRESS,5241,367259871.22
JANUMET,29030,365067513.2
HUMALOG,30253,357889502.59
FENOFIBRATE,95894,348204725.03
COMBIVENT RESPIMAT,40364,342351727.26
RANEXA,23320,336191521.83
GILENYA,1630,327875057.22
BENICAR,44786,324468213.01
FORTEO,5159,323081494.71
INVOKANA,22624,316282282.97
TRACLEER,1415,310256814.85
TRAVATAN Z,26683,304289604.4
TARCEVA,2151,301390657.54
LIDOCAINE,28426,298078366.35
FENTANYL,61047,295767483.8
CLOBETASOL PROPIONATE,35213,293160789.1
HUMIRA,3034,293043137.74
MORPHINE SULFATE ER,55659,287889389.71
BYSTOLIC,50550,277485261.56
VALSARTAN,93265,275913087.45
HYDROXYCHLOROQUINE SULFATE,21921,272036619.16
NOVOLOG MIX 70-30 FLEXPEN,15060,269737283.37
H.P. ACTHAR,300,266197666.11
JAKAFI,1362,262592900.77
AMLODIPINE BESYLATE,247742,259583893.56
MYRBETRIQ,20472,258842976.86
DIVALPROEX SODIUM ER,39024,258290939.96
AVONEX PEN,2016,257794090.92
GAMMAGARD LIQUID,1010,257127357.53
SIMVASTATIN,218318,257001530.86
OMEGA-3 ACID ETHYL ESTERS,39539,253375738.11
OXYCODONE HCL,99985,252391286.4
VIMPAT,10216,251927907.48
LISINOPRIL,257488,249019386.22
AUBAGIO,1227,247741626.56
STRIBILD,2588,246401802.55
CREON,11060,244331711.01
RISPERDAL CONSTA,7696,238381943.08
AVONEX,2182,236227484.72
XIFAXAN,6705,233482363.18
PREMARIN,45292,230721947.53
INVEGA,7650,228829123.7
SYNTHROID,94199,228334423.92
POMALYST,912,228198880.48
RALOXIFENE HCL,38192,223041905.87
REYATAZ,4114,222061401.46
AFINITOR,1166,220634526.15
LOSARTAN POTASSIUM,199706,213718336.97
CLOPIDOGREL,177523,209656816.58
REBIF,1796,208796743.29
WELCHOL,17699,204850113.16
OPSUMIT,783,202972235.95
TIVICAY,2959,194038844.2
MULTAQ,11709,193692459.99
EPZICOM,3585,191152227.02
ESBRIET,958,190959715.44
TRIUMEQ,2093,189030852.58
ADCIRCA,1694,186742673.31
LINZESS,19886,186373660.23
COMBIGAN,19890,185560367.45
VOLTAREN,55082,181881405.49
AVODART,24489,178952964.69
BETASERON,1457,178421696.64
WARFARIN SODIUM,165964,178093073.93
BENICAR HCT,27001,176598942.62
QUETIAPINE FUMARATE,104516,175693262.09
TASIGNA,1228,175208540.92
METFORMIN HCL,202574,174558080.82
PANTOPRAZOLE SODIUM,187343,171872269.11
ONGLYZA,17850,171745870.24
SPRYCEL,1174,169053015.27
DONEPEZIL HCL,117244,168821714.37
AMITIZA,20662,167766530.21
IBRANCE,883,166944515.84
VYTORIN,22483,164827861.08
XENAZINE,741,160528433.7
METHOTREXATE,24619,158268181.94
AZILECT,6098,157975509.45
SUBOXONE,7458,157967081.53
NORVIR,6265,154544971.04
DULERA,18140,152786213.37
PREDNISOLONE ACETATE,21129,152060638.95
AMPYRA,2050,149492978.39
ALPHAGAN P,15483,148989363.74
COMPLERA,2162,148240321.32
FLUTICASONE PROPIONATE,175323,145860884.35
ZOSTAVAX,13889,142645581.38
ESOMEPRAZOLE MAGNESIUM,26235,142034908.12
MONTELUKAST SODIUM,136381,141089151.13
OFEV,793,139101906.2
FLOVENT HFA,24673,137237969.9
METOPROLOL TARTRATE,212287,137174889.16
SUBSYS,359,136848769.64
METFORMIN HCL ER,89362,135099762.95
FUROSEMIDE,229045,134482049.72
ULORIC,17597,134179789.74
EFFIENT,12035,133437406.91
ENOXAPARIN SODIUM,14900,132840050.92
XYREM,707,131940955.68
HUMALOG MIX 75-25 KWIKPEN,7915,131276379.43
ANDROGEL,8963,131154995.91
VIREAD,4773,130752617.98
